For M5|Adr 00059|PI1                          50|SD         44.564 m   |Hz       320.4602 DMS |V2       358.1837 DMS | 
For M5|Adr 00060|PI1                          51|SD         42.541 m   |Hz       313.3249 DMS |V2       358.0345 DMS | 
For M5|Adr 00061|PI1                          52|SD         35.761 m   |Hz       324.0323 DMS |V2       358.0044 DMS | 
For M5|Adr 00062|PI1                          53|SD         32.708 m   |Hz       315.2741 DMS |V2       358.0015 DMS | 
For M5|Adr 00063|PI1                          54|SD         28.378 m   |Hz       351.0608 DMS |V2       358.1557 DMS | 
For M5|Adr 00064|PI1                          55|SD         35.422 m   |Hz       350.4515 DMS |V2       358.1354 DMS | 
For M5|Adr 00065|PI1                          56|SD         43.390 m   |Hz         3.3743 DMS |V2       358.1303 DMS | 
For M5|Adr 00066|PI1                          57|SD         30.496 m   |Hz        24.2217 DMS |V2       358.5712 DMS | 
For M5|Adr 00067|PI1                          58|SD         49.224 m   |Hz        62.2720 DMS |V2         0.0257 DMS | 
For M5|Adr 00068|PI1                          59|SD         38.764 m   |Hz        57.1345 DMS |V2       359.5351 DMS | 
For M5|Adr 00069|PI1                          60|SD         38.668 m   |Hz        57.2234 DMS |V2       359.4804 DMS | 
For M5|Adr 00070|PI1                          61|SD         27.920 m   |Hz        58.4900 DMS |V2         0.0030 DMS | 
For M5|Adr 00071|PI1                          62|SD         28.827 m   |Hz        57.2420 DMS |V2       359.4849 DMS | 
For M5|Adr 00072|PI1                          63|SD         32.130 m   |Hz        55.3425 DMS |V2       359.4559 DMS | 
For M5|Adr 00073|PI1                          64|SD         22.270 m   |Hz        53.0941 DMS |V2       359.5610 DMS | 
For M5|Adr 00074|PI1                          65|SD         22.320 m   |Hz        52.5107 DMS |V2       359.3252 DMS | 
For M5|Adr 00075|PI1                          66|SD         25.367 m   |Hz        54.5807 DMS |V2       359.5338 DMS | 
For M5|Adr 00076|PI1                          67|SD         25.410 m   |Hz        54.4807 DMS |V2       359.4328 DMS | 
For M5|Adr 00077|PI1                          68|SD         64.838 m   |Hz       103.3437 DMS |V2         2.4655 DMS | 
For M5|Adr 00078|PI1                          69|SD         62.824 m   |Hz       112.0948 DMS |V2         3.0954 DMS | 
For M5|Adr 00079|PI1                          70|SD         52.091 m   |Hz       110.0732 DMS |V2         2.4714 DMS | 
For M5|Adr 00080|PI1                          71|SD         60.154 m   |Hz       113.4357 DMS |V2         3.0836 DMS | 
For M5|Adr 00081|PI1                          72|SD         60.764 m   |Hz       109.1443 DMS |V2         2.5332 DMS | 
For M5|Adr 00082|PI1                          73|SD         51.608 m   |Hz       106.5156 DMS |V2         2.4413 DMS | 
For M5|Adr 00083|PI1                          74|SD         50.809 m   |Hz       109.3742 DMS |V2         2.4445 DMS | 
For M5|Adr 00084|PI1                          75|SD         50.412 m   |Hz       112.0559 DMS |V2         2.4240 DMS | 
